datetime,datetime_raw,value,uptimevalue_raw,coverage,coverage_raw,Link Value,Previous Link Value,After Link Value,Status Link,IndexTrue,Selisih,Analisis,Analisis Link Tahap 2,Durasi Hidden Non-Link,Durasi Real Restitusi,Service Level
2017-04-01 09:28:00,42826.10279,2 d 20 h 55 m,248138,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 09:33:00,42826.10626,2 d 21 h 0 m,248439,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 09:38:00,42826.10973,2 d 21 h 5 m,248739,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 09:43:00,42826.1132,2 d 21 h 10 m,249039,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 09:48:00,42826.11668,2 d 21 h 15 m,249340,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 09:53:00,42826.12015,2 d 21 h 20 m,249640,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 09:58:00,42826.12362,2 d 21 h 25 m,249941,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 10:03:00,42826.12709,2 d 21 h 30 m,250241,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 10:08:00,42826.13057,2 d 21 h 35 m,250542,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 10:13:00,42826.13404,2 d 21 h 40 m,250842,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 10:18:00,42826.13751,2 d 21 h 45 m,251143,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 10:23:00,42826.14098,2 d 21 h 50 m,251443,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 10:28:00,42826.14446,2 d 21 h 55 m,251744,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 10:33:00,42826.14793,2 d 22 h 0 m,252044,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 10:38:00,42826.1514,2 d 22 h 5 m,252345,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 10:43:00,42826.15487,2 d 22 h 10 m,252645,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 10:48:00,42826.15834,2 d 22 h 15 m,252946,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 10:53:00,42826.16181,2 d 22 h 20 m,253246,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 10:58:00,42826.16529,2 d 22 h 25 m,253546,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 11:03:00,42826.16876,2 d 22 h 30 m,253847,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 11:08:00,42826.17223,2 d 22 h 35 m,254147,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 11:13:00,42826.1757,2 d 22 h 40 m,254448,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 11:18:00,42826.17917,2 d 22 h 45 m,254748,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 11:23:00,42826.18265,2 d 22 h 50 m,255049,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 11:28:00,42826.18612,2 d 22 h 55 m,255349,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 11:33:00,42826.18959,2 d 23 h 0 m,255650,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 11:38:00,42826.19306,2 d 23 h 5 m,255950,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 11:43:00,42826.19654,2 d 23 h 10 m,256251,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 11:48:00,42826.20001,2 d 23 h 15 m,256551,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 11:53:00,42826.20348,2 d 23 h 20 m,256852,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 11:58:00,42826.20695,2 d 23 h 25 m,257152,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 12:03:00,42826.21042,2 d 23 h 30 m,257452,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 12:08:00,42826.2139,2 d 23 h 35 m,257753,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 12:13:00,42826.21737,2 d 23 h 40 m,258053,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 12:18:00,42826.22084,2 d 23 h 45 m,258354,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 12:23:00,42826.22431,2 d 23 h 50 m,258654,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 12:28:00,42826.22779,2 d 23 h 55 m,258955,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 12:33:00,42826.23126,3 d 0 h 0 m,259255,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 12:38:00,42826.23473,3 d 0 h 5 m,259556,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 12:43:00,42826.2382,3 d 0 h 10 m,259856,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 12:48:00,42826.24168,3 d 0 h 15 m,260157,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 12:53:00,42826.24515,3 d 0 h 20 m,260457,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 12:58:00,42826.24862,3 d 0 h 25 m,260757,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 13:03:00,42826.25209,3 d 0 h 30 m,261058,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 13:08:00,42826.25556,3 d 0 h 35 m,261358,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 13:13:00,42826.25904,3 d 0 h 40 m,261659,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 13:18:00,42826.26251,3 d 0 h 45 m,261959,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 13:23:00,42826.26598,3 d 0 h 51 m,262260,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 13:28:00,42826.26945,3 d 0 h 56 m,262561,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 13:33:00,42826.27292,3 d 1 h 1 m,262861,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 13:38:00,42826.2764,3 d 1 h 6 m,263161,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 13:43:00,42826.27987,3 d 1 h 11 m,263462,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 13:48:00,42826.28334,3 d 1 h 16 m,263762,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 13:53:00,42826.28681,3 d 1 h 21 m,264063,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 13:58:00,42826.29029,3 d 1 h 26 m,264363,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 14:03:00,42826.29376,3 d 1 h 31 m,264664,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 14:08:00,42826.29723,3 d 1 h 36 m,264964,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 14:13:00,42826.3007,3 d 1 h 41 m,265265,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 14:18:00,42826.30417,3 d 1 h 46 m,265565,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 14:23:00,42826.30765,3 d 1 h 51 m,265865,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 14:28:00,42826.31112,3 d 1 h 56 m,266166,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 14:33:00,42826.31459,3 d 2 h 1 m,266466,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 14:38:00,42826.31806,3 d 2 h 6 m,266767,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 14:43:00,42826.32154,3 d 2 h 11 m,267067,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 14:48:00,42826.32501,3 d 2 h 16 m,267368,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 14:53:00,42826.32848,3 d 2 h 21 m,267668,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 14:58:00,42826.33195,3 d 2 h 26 m,267969,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 15:03:00,42826.33542,3 d 2 h 31 m,268269,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 15:08:00,42826.3389,3 d 2 h 36 m,268570,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 15:13:00,42826.34237,3 d 2 h 41 m,268870,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 15:18:00,42826.34584,3 d 2 h 46 m,269170,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 15:23:00,42826.34931,3 d 2 h 51 m,269471,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 15:28:00,42826.35279,3 d 2 h 56 m,269771,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 15:33:00,42826.35626,3 d 3 h 1 m,270072,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 15:38:00,42826.35973,3 d 3 h 6 m,270372,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 15:43:00,42826.3632,3 d 3 h 11 m,270673,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 15:48:00,42826.36667,3 d 3 h 16 m,270973,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 15:53:00,42826.37015,3 d 3 h 21 m,271274,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
